Kod;Nazwa;2017;2018;2019;2020;2021;
2479000;"Powiat m.Żory";3890,07;4263,76;4577,92;4781,16;5195,58;
2601000;"Powiat buski";3587,24;3846,44;4165,07;4375,49;4912,74;
2602000;"Powiat jędrzejowski";4177,28;4440,95;4717,56;4969,29;5350,78;
2603000;"Powiat kazimierski";3311,99;3544,35;3794,18;4235,96;4616,89;
2604000;"Powiat kielecki";3477,48;3777,02;4056,90;4355,66;4789,44;
2605000;"Powiat konecki";3585,89;3943,80;4188,50;4481,58;4922,90;
2606000;"Powiat opatowski";3456,29;3692,26;3939,62;4269,94;4619,32;
2607000;"Powiat ostrowiecki";3596,74;3813,50;4129,16;4448,08;4912,01;
2608000;"Powiat pińczowski";3673,89;3925,26;4145,06;4445,79;4885,52;
2609000;"Powiat sandomierski";3978,62;4359,40;4656,65;4966,33;5414,24;
2610000;"Powiat skarżyski";3859,44;3965,25;4399,33;4758,09;5118,05;
2611000;"Powiat starachowicki";4117,89;4170,22;4481,58;4690,70;5500,36;
2612000;"Powiat staszowski";4042,49;4271,73;4516,27;4825,77;5167,98;
2613000;"Powiat włoszczowski";3760,86;4089,25;4459,58;4722,28;5238,84;
2661000;"Powiat m.Kielce";4197,40;4493,16;4879,19;5218,61;5648,73;
2801000;"Powiat bartoszycki";3637,30;3779,51;4015,63;4589,11;4953,67;
2802000;"Powiat braniewski";3559,55;3713,26;4082,77;4460,29;4875,92;
2803000;"Powiat działdowski";3449,37;3698,59;3878,46;4145,80;4657,91;
2804000;"Powiat elbląski";3446,29;3735,95;3920,89;4268,29;4690,74;
2805000;"Powiat ełcki";3477,88;3693,95;4008,98;4364,74;4764,65;
2806000;"Powiat giżycki";3663,45;3901,14;4170,90;4515,13;4901,26;
2807000;"Powiat iławski";3455,52;3648,02;3892,75;4219,71;4557,38;
2808000;"Powiat kętrzyński";3467,16;3714,64;4039,89;4560,67;4881,27;
2809000;"Powiat lidzbarski";3445,72;3695,19;3947,00;4356,34;4700,72;
2810000;"Powiat mrągowski";3353,74;3594,78;3904,20;4311,00;4714,65;
2811000;"Powiat nidzicki";3334,80;3596,12;3853,58;4207,91;4657,75;
2812000;"Powiat nowomiejski";3221,93;3439,34;3732,36;3971,83;4342,17;
2813000;"Powiat olecki";3647,08;3877,74;4143,90;4438,76;4920,30;
2814000;"Powiat olsztyński";3781,68;4049,63;4367,81;4823,92;5205,74;
2815000;"Powiat ostródzki";3680,36;3926,12;4160,33;4440,69;4851,18;
2816000;"Powiat piski";3791,39;3944,22;4280,99;4633,18;4968,35;
2817000;"Powiat szczycieński";3699,06;3874,73;4177,74;4523,23;4946,10;
2818000;"Powiat gołdapski";3328,33;3542,46;3882,07;4227,65;4683,51;
2819000;"Powiat węgorzewski";3379,54;3515,17;3844,48;4314,62;4766,72;
2861000;"Powiat m.Elbląg";4044,35;4287,12;4512,03;4952,59;5423,69;
2862000;"Powiat m.Olsztyn";4427,76;4648,58;5018,92;5438,71;5902,66;
3001000;"Powiat chodzieski";3713,90;4079,72;4353,18;4550,77;5006,64;
3002000;"Powiat czarnkowsko-trzcianecki";3967,42;4299,93;4535,39;4869,30;5327,99;
3003000;"Powiat gnieźnieński";3774,18;4015,45;4265,39;4658,83;5162,09;
3004000;"Powiat gostyński";3760,40;4011,63;4316,45;4698,58;5174,68;
3005000;"Powiat grodziski";3316,55;3687,82;4017,37;4433,04;4675,12;
3006000;"Powiat jarociński";3340,73;3612,51;3897,09;4193,08;4720,74;
3007000;"Powiat kaliski";3353,48;3606,01;3970,36;4195,22;4553,66;
3008000;"Powiat kępiński";2960,24;3183,34;3537,58;3872,06;4244,56;
